reason = roomSpotted x,y,z = 10055,12624,3 room = livingroom
reason = roomSpotted x,y,z = 10052,12620,3 room = livingroom
reason = roomSpotted x,y,z = 10053,12622,3 room = livingroom
reason = roomSpotted x,y,z = 10059,12622,3 room = livingroom
reason = roomSpotted x,y,z = 10054,12621,3 room = livingroom
reason = roomSpotted x,y,z = 10058,12620,3 room = kitchen
reason = roomSpotted x,y,z = 10059,12627,3 room = livingroom.
[28-11-22 02:00:02.373] reason = roomSpotted x,y,z = 10058,12627,3 room = livingroom
reason = roomSpotted x,y,z = 10058,12624,3 room = livingroom
reason = roomSpotted x,y,z = 10059,12626,3 room = livingroom
reason = roomSpotted x,y,z = 10057,12624,3 room = livingroom
reason = roomSpotted x,y,z = 10097,12635,1 room = livingroom
reason = roomSpotted x,y,z = 10092,12631,1 room = livingroom
reason = roomSpotted x,y,z = 10097,12629,1 room = livingroom
reason = roomSpotted x,y,z = 10100,12630,1 room = bathroom
reason = roomSpotted x,y,z = 10091,12626,1 room = livingroom
reason = roomSpotted x,y,z = 10091,12635,1 room = livingroom
reason = roomSpotted x,y,z = 10091,12634,1 room = livingroom
reason = roomSpotted x,y,z = 10090,12632,1 room = livingroom
reason = roomSpotted x,y,z = 10093,12635,2 room = livingroom
reason = roomSpotted x,y,z = 10094,12630,2 room = livingroom
reason = roomSpotted x,y,z = 10095,12635,2 room = livingroom
reason = roomSpotted x,y,z = 10096,12633,2 room = livingroom
reason = roomSpotted x,y,z = 10097,12633,2 room = livingroom.
[28-11-22 02:00:02.375] reason = roomSpotted x,y,z = 10091,12631,2 room = livingroom
reason = roomSpotted x,y,z = 10099,12631,2 room = livingroom
reason = roomSpotted x,y,z = 10094,12635,2 room = livingroom
reason = roomSpotted x,y,z = 10097,12631,2 room = livingroom
reason = roomSpotted x,y,z = 10093,12634,2 room = livingroom
reason = roomSpotted x,y,z = 10102,12628,2 room = livingroom
reason = roomSpotted x,y,z = 10089,12633,2 room = livingroom
reason = roomSpotted x,y,z = 10101,12633,2 room = livingroom
reason = roomSpotted x,y,z = 10099,12633,2 room = livingroom
reason = roomSpotted x,y,z = 10097,12630,3 room = livingroom
reason = roomSpotted x,y,z = 10097,12635,3 room = livingroom
reason = roomSpotted x,y,z = 10096,12626,3 room = livingroom
reason = roomSpotted x,y,z = 10094,12632,3 room = livingroom
reason = roomSpotted x,y,z = 10094,12633,3 room = livingroom
reason = roomSpotted x,y,z = 10090,12626,3 room = livingroom
reason = roomSpotted x,y,z = 10090,12628,3 room = livingroom
reason = roomSpotted x,y,z = 10091,12626,3 room = livingroom.
